Date,Open,High,Low,Close,Volume
2023-07-06,278.09,279.97,272.88,276.54,120707419.0
2023-07-05,278.82,283.85,277.6,282.48,131530722.0
2023-07-03,276.49,284.25,275.11,279.82,119685880.0
2023-06-30,260.6,264.45,259.89,261.77,112611784.0
2023-06-29,258.03,260.74,253.61,257.5,131283360.0
2023-06-28,249.7,259.88,248.89,256.24,159743027.0
2023-06-27,243.24,250.3899,240.85,250.21,164969701.0
2023-06-26,250.065,258.37,240.7,241.05,179982707.0
2023-06-23,259.29,262.45,252.8,256.6,177443153.0
2023-06-22,250.77,265.0,248.25,264.61,166575944.0
2023-06-21,275.13,276.99,257.78,259.46,211779399.0
2023-06-20,261.5,274.75,261.12,274.45,165599166.0
2023-06-16,258.92,263.6,257.2091,260.54,167765649.0
2023-06-15,248.4,258.95,247.29,255.9,160133746.0
2023-06-14,260.17,261.57,250.5,256.79,170543752.0
2023-06-13,253.51,259.68,251.34,258.71,162369003.0
2023-06-12,247.94,250.97,244.59,249.83,150739148.0
2023-06-09,249.07,252.42,242.02,244.4,200174671.0
2023-06-08,224.22,235.23,223.01,234.86,164477139.0
2023-06-07,228.0,230.8296,223.2,224.57,185630591.0
2023-06-06,216.14,221.91,212.53,221.31,146907576.0
2023-06-05,217.8,221.29,214.52,217.61,151111552.0
2023-06-02,210.15,217.25,209.752,213.97,164397946.0
2023-06-01,202.59,209.8,199.37,207.52,148029931.0
2023-05-31,199.78,203.95,195.12,203.93,150663736.0
2023-05-30,200.1,204.48,197.53,201.16,128811186.0
2023-05-26,184.62,198.6,184.53,193.17,162030446.0
2023-05-25,186.54,186.78,180.58,184.47,96870719.0
2023-05-24,182.23,184.22,178.22,182.9,137603831.0
2023-05-23,186.2,192.96,185.26,185.77,156952042.0
2023-05-22,180.7,189.32,180.11,188.87,132001430.0
2023-05-19,177.17,181.95,176.31,180.14,136190926.0
2023-05-18,174.22,177.06,172.45,176.89,109520332.0
2023-05-17,168.41,174.5,167.185,173.86,125439358.0
2023-05-16,165.65,169.5184,164.35,166.52,98287142.0
2023-05-15,167.655,169.76,164.5499,166.35,105592510.0
2023-05-12,176.07,177.38,167.23,167.98,157768815.0
2023-05-11,168.7,173.57,166.79,172.08,103871205.0
2023-05-10,172.55,174.43,166.68,168.54,119798843.0
2023-05-09,168.95,169.82,166.56,169.15,88859843.0
2023-05-08,173.72,173.8,169.19,171.79,112248249.0
2023-05-05,163.97,170.7899,163.51,170.06,107575799.0
2023-05-04,162.71,162.95,159.65,161.2,95108192.0
2023-05-03,160.01,165.0,159.91,160.61,119712912.0
2023-05-02,161.88,165.49,158.93,160.31,128259744.0
2023-05-01,163.17,163.28,158.83,161.83,109000248.0
2023-04-28,160.9,165.0,157.32,164.31,122515812.0
2023-04-27,152.64,160.48,152.37,160.19,127015177.0
2023-04-26,160.29,160.67,153.14,153.75,153364142.0
2023-04-25,159.82,163.47,158.75,160.67,121999312.0
2023-04-24,164.65,165.65,158.61,162.55,140006559.0
2023-04-21,164.8,166.0,161.3208,165.08,123538954.0
2023-04-20,166.165,169.7,160.56,162.99,210925047.0
2023-04-19,179.1,183.5,177.65,180.59,125727287.0
2023-04-18,187.15,187.69,183.5775,184.31,92066996.0
2023-04-17,186.32,189.69,182.69,187.04,116662189.0
2023-04-14,183.95,186.28,182.01,185.0,96408489.0
